SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,419 Garfield St,San Francisco,CA,94132,1249000,4,2.0,San Francisco,1700,2200,1947,2,735,,Active,,,https://www.redfin.com/CA/San-Francisco/419-Garfield-St-94132/home/1027567,San Francisco MLS,421614829,N,Y,37.719521,-122.4666932
MLS Listing,,Single Family Residential,3670 Mission St,San Francisco,CA,94110,1488888,4,2.5,Mission District,1340,1875,1921,5,1111,,Active,,,https://www.redfin.com/CA/San-Francisco/3670-Mission-St-94110/home/1363483,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40974535,N,Y,37.7376613,-122.4243173
MLS Listing,,Condo/Co-op,151 Alice B. Toklas Pl #509,San Francisco,CA,94109,998000,1,1.0,San Francisco,1337,25240,1920,22,746,885,Active,,,https://www.redfin.com/CA/San-Francisco/151-Alice-B-Toklas-94109/unit-509/home/574531,San Francisco MLS,421611997,N,Y,37.7851019,-122.4205839
MLS Listing,,Condo/Co-op,1938 Scott St,San Francisco,CA,94115,1995000,4,3.0,San Francisco,1968,2572,1890,23,1014,350,Active,,,https://www.redfin.com/CA/San-Francisco/1938-Scott-St-94115/home/1657761,San Francisco MLS,421607501,N,Y,37.7878744,-122.4384597
MLS Listing,,Condo/Co-op,401 Harrison St Unit 46B,San Francisco,CA,94105,7900000,3,3.0,San Francisco,3214,56023,2014,25,2458,1900,Active,,,https://www.redfin.com/CA/San-Francisco/401-Harrison-St-94105/unit-46B/home/144064341,San Francisco MLS,421610511,N,Y,37.7863747,-122.3919931
MLS Listing,,Condo/Co-op,10 Inca Ln #1,San Francisco,CA,94115,599000,2,1.0,San Francisco,840,,,30,713,754,Active,,,https://www.redfin.com/CA/San-Francisco/10-Inca-Ln-94115/unit-1/home/12401313,San Francisco MLS,421609286,N,Y,37.7829941,-122.4288754
MLS Listing,,Single Family Residential,836 48th Ave,SAN FRANCISCO,CA,94121,1498000,5,4.0,SAN FRANCISCO,2153,3598,1951,31,696,,Active,,,https://www.redfin.com/CA/San-Francisco/836-48th-Ave-94121/home/2033612,MLSListings,ML81869146,N,Y,37.7725806,-122.508654
MLS Listing,,Single Family Residential,773 Minna St,SAN FRANCISCO,CA,94103,1888000,2,2.5,SAN FRANCISCO,2520,1600,1906,51,749,,Active,,,https://www.redfin.com/CA/San-Francisco/773-Minna-St-94103/home/28945815,MLSListings,ML81867047,N,Y,37.7760888,-122.4135468
MLS Listing,,Condo/Co-op,201 Harrison St #501,SAN FRANCISCO,CA,94105,485000,0,1.0,SAN FRANCISCO,432,,1991,57,1123,658,Active,,,https://www.redfin.com/CA/San-Francisco/201-Harrison-St-94105/unit-501/home/1438671,MLSListings,ML81866194,N,Y,37.7874798,-122.3905769
MLS Listing,,Condo/Co-op,461 2nd St Unit C118,San Francisco,CA,94107,750000,1,1.0,San Francisco,672,56167,1907,89,1116,651,Active,,,https://www.redfin.com/CA/San-Francisco/461-2nd-St-94107/unit-C118/home/1203053,San Francisco MLS,421589274,N,Y,37.783797,-122.3937191
